region,suburb,quarter,median_rent,rent_growth,lag_median_rent,bond_count,lag_bond_count,log_bond_count,lag_log_bond_count
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2018Q1,550,,,891,,6.79346613258001,
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2018Q2,560,1.8181818181818077,550.0,920,891.0,6.825460036255307,6.79346613258001
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2018Q3,570,1.7857142857142794,560.0,913,920.0,6.81783057145415,6.825460036255307
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2018Q4,570,0.0,570.0,925,913.0,6.8308742346461795,6.81783057145415
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2019Q1,552,-3.157894736842104,570.0,905,925.0,6.80903930604298,6.8308742346461795
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2019Q2,560,1.449275362318847,552.0,886,905.0,6.787844982309579,6.80903930604298
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2019Q3,565,0.8928571428571397,560.0,857,886.0,6.754604099487962,6.787844982309579
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2019Q4,595,5.3097345132743445,565.0,847,857.0,6.742880635791903,6.754604099487962
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2020Q1,600,0.8403361344537785,595.0,855,847.0,6.752270376141742,6.742880635791903
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2020Q2,580,-3.3333333333333326,600.0,830,855.0,6.7226297948554485,6.752270376141742
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2020Q3,550,-5.1724137931034475,580.0,805,830.0,6.692083742506628,6.7226297948554485
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2020Q4,550,0.0,550.0,852,805.0,6.748759547491679,6.692083742506628
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2021Q1,500,-9.090909090909093,550.0,902,852.0,6.805722553416985,6.748759547491679
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2021Q2,500,0.0,500.0,940,902.0,6.846943139585379,6.805722553416985
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2021Q3,500,0.0,500.0,943,940.0,6.8501261661455,6.846943139585379
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2021Q4,495,-1.0000000000000009,500.0,910,943.0,6.814542897259958,6.8501261661455
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2022Q1,500,1.0101010101010166,495.0,867,910.0,6.7661917146603505,6.814542897259958
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2022Q2,515,3.0000000000000027,500.0,855,867.0,6.752270376141742,6.7661917146603505
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2022Q3,508,-1.3592233009708687,515.0,880,855.0,6.78105762593618,6.752270376141742
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2022Q4,525,3.34645669291338,508.0,833,880.0,6.726233402358747,6.78105762593618
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2023Q1,545,3.809523809523818,525.0,795,833.0,6.679599185844383,6.726233402358747
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2023Q2,555,1.83486238532109,545.0,738,795.0,6.6052979209482015,6.679599185844383
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2023Q3,600,8.108108108108114,555.0,729,738.0,6.593044534142437,6.6052979209482015
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2023Q4,600,0.0,600.0,719,729.0,6.579251212010101,6.593044534142437
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2024Q1,660,10.000000000000009,600.0,677,719.0,6.519147287940395,6.579251212010101
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2024Q2,675,2.2727272727272707,660.0,661,677.0,6.495265555937008,6.519147287940395
Inner Melbourne,Albert Park-Middle Park-West St Kilda,2024Q3,693,2.6666666666666616,675.0,640,661.0,6.46302945692067,6.495265555937008
